vgs ,M0:vdsat vds 0 ,M0:vdsat vds 0.1 ,M0:vdsat vds 0.2 ,M0:vdsat vds 0.3 ,M0:vdsat vds 0.4 ,M0:vdsat vds 0.5 ,M0:vdsat vds 0.6 ,M0:vdsat vds 0.7 ,M0:vdsat vds 0.8 ,M0:vdsat vds 0.9 ,M0:vdsat vds 1 ,M0:vdsat vds 1.1 ,M0:vdsat vds 1.2 ,M0:self_gain vds 0 ,M0:self_gain vds 0.1 ,M0:self_gain vds 0.2 ,M0:self_gain vds 0.3 ,M0:self_gain vds 0.4 ,M0:self_gain vds 0.5 ,M0:self_gain vds 0.6 ,M0:self_gain vds 0.7 ,M0:self_gain vds 0.8 ,M0:self_gain vds 0.9 ,M0:self_gain vds 1 ,M0:self_gain vds 1.1 ,M0:self_gain vds 1.2 ,M0:region vds 0 ,M0:region vds 0.1 ,M0:region vds 0.2 ,M0:region vds 0.3 ,M0:region vds 0.4 ,M0:region vds 0.5 ,M0:region vds 0.6 ,M0:region vds 0.7 ,M0:region vds 0.8 ,M0:region vds 0.9 ,M0:region vds 1 ,M0:region vds 1.1 ,M0:region vds 1.2 ,M0:id vds 0 ,M0:id vds 0.1 ,M0:id vds 0.2 ,M0:id vds 0.3 ,M0:id vds 0.4 ,M0:id vds 0.5 ,M0:id vds 0.6 ,M0:id vds 0.7 ,M0:id vds 0.8 ,M0:id vds 0.9 ,M0:id vds 1 ,M0:id vds 1.1 ,M0:id vds 1.2 ,M0:gmoverid vds 0 ,M0:gmoverid vds 0.1 ,M0:gmoverid vds 0.2 ,M0:gmoverid vds 0.3 ,M0:gmoverid vds 0.4 ,M0:gmoverid vds 0.5 ,M0:gmoverid vds 0.6 ,M0:gmoverid vds 0.7 ,M0:gmoverid vds 0.8 ,M0:gmoverid vds 0.9 ,M0:gmoverid vds 1 ,M0:gmoverid vds 1.1 ,M0:gmoverid vds 1.2 ,M0:gmbs vds 0 ,M0:gmbs vds 0.1 ,M0:gmbs vds 0.2 ,M0:gmbs vds 0.3 ,M0:gmbs vds 0.4 ,M0:gmbs vds 0.5 ,M0:gmbs vds 0.6 ,M0:gmbs vds 0.7 ,M0:gmbs vds 0.8 ,M0:gmbs vds 0.9 ,M0:gmbs vds 1 ,M0:gmbs vds 1.1 ,M0:gmbs vds 1.2 ,M0:gm vds 0 ,M0:gm vds 0.1 ,M0:gm vds 0.2 ,M0:gm vds 0.3 ,M0:gm vds 0.4 ,M0:gm vds 0.5 ,M0:gm vds 0.6 ,M0:gm vds 0.7 ,M0:gm vds 0.8 ,M0:gm vds 0.9 ,M0:gm vds 1 ,M0:gm vds 1.1 ,M0:gm vds 1.2 ,M0:gds vds 0 ,M0:gds vds 0.1 ,M0:gds vds 0.2 ,M0:gds vds 0.3 ,M0:gds vds 0.4 ,M0:gds vds 0.5 ,M0:gds vds 0.6 ,M0:gds vds 0.7 ,M0:gds vds 0.8 ,M0:gds vds 0.9 ,M0:gds vds 1 ,M0:gds vds 1.1 ,M0:gds vds 1.2 ,M0:ft vds 0 ,M0:ft vds 0.1 ,M0:ft vds 0.2 ,M0:ft vds 0.3 ,M0:ft vds 0.4 ,M0:ft vds 0.5 ,M0:ft vds 0.6 ,M0:ft vds 0.7 ,M0:ft vds 0.8 ,M0:ft vds 0.9 ,M0:ft vds 1 ,M0:ft vds 1.1 ,M0:ft vds 1.2 ,M0:cdb vds 0 ,M0:cdb vds 0.1 ,M0:cdb vds 0.2 ,M0:cdb vds 0.3 ,M0:cdb vds 0.4 ,M0:cdb vds 0.5 ,M0:cdb vds 0.6 ,M0:cdb vds 0.7 ,M0:cdb vds 0.8 ,M0:cdb vds 0.9 ,M0:cdb vds 1 ,M0:cdb vds 1.1 ,M0:cdb vds 1.2 ,M0:csb vds 0 ,M0:csb vds 0.1 ,M0:csb vds 0.2 ,M0:csb vds 0.3 ,M0:csb vds 0.4 ,M0:csb vds 0.5 ,M0:csb vds 0.6 ,M0:csb vds 0.7 ,M0:csb vds 0.8 ,M0:csb vds 0.9 ,M0:csb vds 1 ,M0:csb vds 1.1 ,M0:csb vds 1.2 ,M0:cgs vds 0 ,M0:cgs vds 0.1 ,M0:cgs vds 0.2 ,M0:cgs vds 0.3 ,M0:cgs vds 0.4 ,M0:cgs vds 0.5 ,M0:cgs vds 0.6 ,M0:cgs vds 0.7 ,M0:cgs vds 0.8 ,M0:cgs vds 0.9 ,M0:cgs vds 1 ,M0:cgs vds 1.1 ,M0:cgs vds 1.2 ,M0:cgd vds 0 ,M0:cgd vds 0.1 ,M0:cgd vds 0.2 ,M0:cgd vds 0.3 ,M0:cgd vds 0.4 ,M0:cgd vds 0.5 ,M0:cgd vds 0.6 ,M0:cgd vds 0.7 ,M0:cgd vds 0.8 ,M0:cgd vds 0.9 ,M0:cgd vds 1 ,M0:cgd vds 1.1 ,M0:cgd vds 1.2 
0.000,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.9E-3,104.9E-3,104.9E-3,0.000,10.34,18.24,19.23,19.52,19.65,19.71,19.75,19.77,19.79,19.80,19.80,19.80,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,384.8E-15,73.42E-12,91.01E-12,109.3E-12,131.5E-12,159.1E-12,193.5E-12,236.3E-12,289.5E-12,355.1E-12,435.5E-12,534.1E-12,659.2E-12,0.000,30.73,30.74,30.75,30.76,30.76,30.77,30.78,30.78,30.79,30.80,30.81,30.81,0.000,258.0E-12,313.6E-12,366.3E-12,425.8E-12,494.3E-12,573.3E-12,664.7E-12,770.5E-12,892.9E-12,1.035E-9,1.199E-9,1.389E-9,0.000,2.224E-9,2.723E-9,3.206E-9,3.758E-9,4.398E-9,5.143E-9,6.012E-9,7.027E-9,8.213E-9,9.598E-9,11.22E-9,13.11E-9,2.036E-9,215.2E-12,149.3E-12,166.7E-12,192.5E-12,223.8E-12,260.9E-12,304.4E-12,355.4E-12,415.1E-12,484.8E-12,566.5E-12,662.1E-12,0.000,359.3E3,443.3E3,525.6E3,619.5E3,728.2E3,854.5E3,1.002E6,1.174E6,1.374E6,1.609E6,1.883E6,2.203E6,841.1E-18,802.9E-18,770.3E-18,742.0E-18,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18,321.6E-18,320.3E-18
50.00E-3,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.8E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,0.000,10.36,18.25,19.24,19.53,19.66,19.72,19.76,19.78,19.80,19.80,19.81,19.81,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,371.1E-15,338.2E-12,415.2E-12,491.0E-12,578.9E-12,682.7E-12,805.8E-12,952.2E-12,1.126E-9,1.333E-9,1.578E-9,1.869E-9,2.215E-9,0.000,30.82,30.83,30.83,30.84,30.85,30.85,30.86,30.86,30.87,30.88,30.88,30.89,0.000,1.174E-9,1.427E-9,1.667E-9,1.939E-9,2.252E-9,2.613E-9,3.030E-9,3.514E-9,4.074E-9,4.723E-9,5.474E-9,6.345E-9,0.000,10.39E-9,12.73E-9,14.99E-9,17.57E-9,20.57E-9,24.07E-9,28.15E-9,32.91E-9,38.47E-9,44.97E-9,52.57E-9,61.45E-9,9.484E-9,1.003E-9,697.2E-12,779.2E-12,899.9E-12,1.047E-9,1.220E-9,1.425E-9,1.664E-9,1.943E-9,2.271E-9,2.654E-9,3.103E-9,0.000,1.679E6,2.072E6,2.459E6,2.901E6,3.413E6,4.009E6,4.702E6,5.512E6,6.458E6,7.563E6,8.855E6,10.37E6,841.1E-18,802.9E-18,770.3E-18,742.0E-18,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18,322.2E-18,320.9E-18
100.0E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,0.000,10.38,18.27,19.25,19.54,19.67,19.73,19.77,19.79,19.80,19.81,19.82,19.81,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,332.5E-15,1.579E-9,1.934E-9,2.280E-9,2.677E-9,3.139E-9,3.680E-9,4.314E-9,5.057E-9,5.929E-9,6.952E-9,8.150E-9,9.556E-9,0.000,30.90,30.90,30.91,30.91,30.92,30.92,30.93,30.93,30.94,30.94,30.95,30.95,0.000,5.370E-9,6.531E-9,7.634E-9,8.881E-9,10.32E-9,11.97E-9,13.89E-9,16.11E-9,18.68E-9,21.66E-9,25.11E-9,29.11E-9,0.000,48.75E-9,59.70E-9,70.34E-9,82.49E-9,96.59E-9,113.0E-9,132.2E-9,154.6E-9,180.8E-9,211.4E-9,247.1E-9,288.9E-9,44.36E-9,4.698E-9,3.268E-9,3.654E-9,4.222E-9,4.912E-9,5.729E-9,6.689E-9,7.813E-9,9.129E-9,10.67E-9,12.47E-9,14.58E-9,0.000,7.880E6,9.722E6,11.55E6,13.63E6,16.05E6,18.87E6,22.15E6,25.98E6,30.45E6,35.67E6,41.77E6,48.91E6,841.1E-18,802.9E-18,770.3E-18,742.0E-18,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18,321.6E-18
150.0E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,105.0E-3,0.000,10.39,18.28,19.26,19.55,19.67,19.74,19.77,19.80,19.81,19.82,19.82,19.82,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,264.4E-15,7.408E-9,9.075E-9,10.69E-9,12.54E-9,14.69E-9,17.20E-9,20.13E-9,23.56E-9,27.56E-9,32.24E-9,37.71E-9,44.12E-9,0.000,30.96,30.96,30.96,30.97,30.97,30.97,30.97,30.97,30.97,30.97,30.96,30.96,0.000,24.69E-9,30.03E-9,35.10E-9,40.85E-9,47.45E-9,55.07E-9,63.90E-9,74.11E-9,85.93E-9,99.63E-9,115.5E-9,133.8E-9,0.000,229.3E-9,280.9E-9,331.0E-9,388.2E-9,454.6E-9,532.0E-9,622.3E-9,727.7E-9,850.9E-9,994.7E-9,1.163E-6,1.359E-6,208.2E-9,22.07E-9,15.37E-9,17.19E-9,19.86E-9,23.11E-9,26.95E-9,31.47E-9,36.76E-9,42.95E-9,50.18E-9,58.65E-9,68.56E-9,0.000,37.11E6,45.74E6,54.33E6,64.21E6,75.67E6,88.99E6,104.5E6,122.6E6,143.7E6,168.4E6,197.2E6,230.9E6,841.1E-18,802.9E-18,770.3E-18,742.0E-18,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.7E-18,627.0E-18,613.7E-18,601.3E-18,590.0E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,841.1E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,372.7E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18,322.2E-18
200.0E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,104.9E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.1E-3,0.000,10.38,18.28,19.26,19.55,19.68,19.74,19.78,19.80,19.82,19.83,19.83,19.83,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,161.8E-15,34.85E-9,42.69E-9,50.29E-9,58.99E-9,69.07E-9,80.81E-9,94.50E-9,110.5E-9,129.1E-9,150.9E-9,176.3E-9,205.9E-9,0.000,30.97,30.97,30.96,30.95,30.94,30.93,30.91,30.89,30.87,30.84,30.81,30.76,0.000,113.7E-9,138.3E-9,161.6E-9,188.0E-9,218.3E-9,253.2E-9,293.5E-9,340.0E-9,393.8E-9,455.8E-9,527.4E-9,610.0E-9,0.000,1.079E-6,1.322E-6,1.557E-6,1.826E-6,2.137E-6,2.499E-6,2.920E-6,3.411E-6,3.984E-6,4.650E-6,5.426E-6,6.329E-6,978.2E-9,104.0E-9,72.32E-9,80.84E-9,93.37E-9,108.6E-9,126.5E-9,147.6E-9,172.3E-9,201.0E-9,234.5E-9,273.6E-9,319.2E-9,0.000,174.7E6,215.1E6,255.2E6,301.6E6,355.5E6,418.0E6,490.7E6,575.3E6,673.7E6,788.3E6,921.7E6,1.077E9,841.3E-18,803.0E-18,770.4E-18,742.0E-18,717.2E-18,695.2E-18,675.5E-18,657.8E-18,641.7E-18,627.1E-18,613.7E-18,601.4E-18,590.1E-18,841.3E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,841.2E-18,375.7E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.9E-18,375.7E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18
250.0E-3,105.0E-3,105.0E-3,105.0E-3,105.1E-3,105.1E-3,105.1E-3,105.2E-3,105.2E-3,105.2E-3,105.3E-3,105.4E-3,105.4E-3,105.5E-3,0.000,10.29,18.25,19.26,19.55,19.68,19.75,19.78,19.81,19.82,19.83,19.83,19.83,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,16.82E-15,163.4E-9,200.1E-9,235.5E-9,275.8E-9,322.5E-9,376.5E-9,439.3E-9,512.3E-9,596.9E-9,695.1E-9,808.8E-9,940.3E-9,0.000,30.78,30.77,30.72,30.67,30.61,30.53,30.45,30.35,30.23,30.11,29.96,29.80,0.000,519.4E-9,631.3E-9,736.1E-9,853.8E-9,987.9E-9,1.141E-6,1.317E-6,1.518E-6,1.748E-6,2.010E-6,2.308E-6,2.646E-6,0.000,5.030E-6,6.157E-6,7.236E-6,8.460E-6,9.868E-6,11.50E-6,13.37E-6,15.54E-6,18.05E-6,20.92E-6,24.23E-6,28.02E-6,4.562E-6,488.7E-9,337.4E-9,375.8E-9,432.7E-9,501.4E-9,582.1E-9,676.1E-9,784.8E-9,910.4E-9,1.055E-6,1.222E-6,1.413E-6,0.000,807.0E6,991.5E6,1.173E9,1.382E9,1.624E9,1.904E9,2.226E9,2.597E9,3.025E9,3.516E9,4.080E9,4.727E9,842.4E-18,803.4E-18,770.8E-18,742.5E-18,717.6E-18,695.6E-18,675.9E-18,658.2E-18,642.1E-18,627.5E-18,614.1E-18,601.8E-18,590.5E-18,842.4E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,842.0E-18,387.8E-18,389.2E-18,389.1E-18,389.1E-18,389.1E-18,389.1E-18,389.1E-18,389.1E-18,389.1E-18,389.1E-18,389.1E-18,389.1E-18,389.1E-18,387.8E-18,372.5E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18
300.0E-3,105.4E-3,105.4E-3,105.5E-3,105.6E-3,105.7E-3,105.8E-3,105.9E-3,106.1E-3,106.3E-3,106.5E-3,106.7E-3,107.0E-3,107.2E-3,0.000,9.880,18.09,19.20,19.53,19.66,19.73,19.77,19.79,19.81,19.81,19.81,19.81,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,-190.6E-15,747.7E-9,914.1E-9,1.071E-6,1.247E-6,1.448E-6,1.678E-6,1.942E-6,2.243E-6,2.587E-6,2.978E-6,3.422E-6,3.926E-6,0.000,29.83,29.78,29.61,29.42,29.19,28.95,28.68,28.39,28.07,27.74,27.37,26.99,0.000,2.260E-6,2.739E-6,3.165E-6,3.632E-6,4.152E-6,4.733E-6,5.381E-6,6.102E-6,6.901E-6,7.784E-6,8.755E-6,9.819E-6,0.000,22.31E-6,27.22E-6,31.71E-6,36.68E-6,42.27E-6,48.58E-6,55.69E-6,63.67E-6,72.61E-6,82.59E-6,93.67E-6,105.9E-6,20.41E-6,2.258E-6,1.505E-6,1.651E-6,1.878E-6,2.149E-6,2.462E-6,2.817E-6,3.217E-6,3.666E-6,4.168E-6,4.727E-6,5.348E-6,0.000,3.383E9,4.144E9,4.850E9,5.649E9,6.560E9,7.589E9,8.746E9,10.04E9,11.49E9,13.10E9,14.90E9,16.88E9,847.6E-18,805.6E-18,772.9E-18,744.6E-18,719.7E-18,697.7E-18,678.0E-18,660.3E-18,644.3E-18,629.7E-18,616.3E-18,604.0E-18,592.6E-18,847.6E-18,845.7E-18,845.6E-18,845.6E-18,845.6E-18,845.6E-18,845.6E-18,845.6E-18,845.6E-18,845.6E-18,845.6E-18,845.6E-18,845.6E-18,445.9E-18,454.2E-18,453.8E-18,453.7E-18,453.6E-18,453.6E-18,453.6E-18,453.6E-18,453.6E-18,453.6E-18,453.6E-18,453.6E-18,453.6E-18,445.9E-18,374.5E-18,370.9E-18,366.0E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18
350.0E-3,107.0E-3,107.0E-3,107.3E-3,107.6E-3,108.0E-3,108.4E-3,108.8E-3,109.3E-3,109.9E-3,110.5E-3,111.1E-3,111.8E-3,112.6E-3,0.000,8.555,17.48,19.00,19.43,19.60,19.69,19.73,19.76,19.78,19.79,19.79,19.78,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,-527.1E-15,3.124E-6,3.807E-6,4.403E-6,5.049E-6,5.767E-6,6.566E-6,7.455E-6,8.442E-6,9.536E-6,10.74E-6,12.07E-6,13.53E-6,0.000,26.94,26.91,26.57,26.16,25.73,25.28,24.81,24.33,23.84,23.34,22.84,22.34,0.000,8.379E-6,10.13E-6,11.47E-6,12.85E-6,14.32E-6,15.89E-6,17.57E-6,19.35E-6,21.25E-6,23.25E-6,25.36E-6,27.57E-6,0.000,84.17E-6,102.5E-6,117.0E-6,132.1E-6,148.4E-6,165.9E-6,184.9E-6,205.4E-6,227.3E-6,250.8E-6,275.8E-6,302.3E-6,79.80E-6,9.838E-6,5.861E-6,6.157E-6,6.799E-6,7.568E-6,8.429E-6,9.372E-6,10.39E-6,11.49E-6,12.67E-6,13.94E-6,15.28E-6,0.000,10.68E9,13.11E9,15.02E9,17.05E9,19.27E9,21.68E9,24.29E9,27.08E9,30.07E9,33.25E9,36.64E9,40.23E9,863.6E-18,813.4E-18,780.2E-18,751.8E-18,727.0E-18,705.0E-18,685.3E-18,667.5E-18,651.5E-18,636.9E-18,623.5E-18,611.2E-18,599.8E-18,863.6E-18,857.5E-18,857.3E-18,857.2E-18,857.2E-18,857.2E-18,857.2E-18,857.2E-18,857.2E-18,857.2E-18,857.2E-18,857.2E-18,857.2E-18,631.2E-18,673.6E-18,671.3E-18,670.6E-18,670.4E-18,670.3E-18,670.3E-18,670.2E-18,670.2E-18,670.2E-18,670.2E-18,670.2E-18,670.2E-18,631.2E-18,380.7E-18,372.9E-18,368.8E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18
400.0E-3,111.9E-3,112.1E-3,112.7E-3,113.5E-3,114.4E-3,115.3E-3,116.3E-3,117.3E-3,118.4E-3,119.6E-3,120.7E-3,122.0E-3,123.2E-3,0.000,6.123,15.83,18.41,19.16,19.46,19.59,19.67,19.71,19.74,19.76,19.76,19.76,3.000,3.000,3.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,-1.155E-12,10.65E-6,13.04E-6,14.80E-6,16.59E-6,18.51E-6,20.56E-6,22.78E-6,25.17E-6,27.73E-6,30.48E-6,33.42E-6,36.56E-6,0.000,21.87,22.15,21.79,21.32,20.84,20.35,19.86,19.38,18.90,18.43,17.97,17.52,0.000,22.86E-6,28.14E-6,31.17E-6,33.94E-6,36.71E-6,39.53E-6,42.41E-6,45.37E-6,48.38E-6,51.46E-6,54.59E-6,57.77E-6,0.000,232.9E-6,288.9E-6,322.4E-6,353.8E-6,385.6E-6,418.4E-6,452.4E-6,487.7E-6,524.1E-6,561.8E-6,600.6E-6,640.5E-6,240.5E-6,38.04E-6,18.25E-6,17.51E-6,18.46E-6,19.82E-6,21.36E-6,23.00E-6,24.74E-6,26.55E-6,28.44E-6,30.39E-6,32.42E-6,0.000,23.11E9,29.27E9,32.83E9,36.16E9,39.61E9,43.20E9,46.92E9,50.76E9,54.70E9,58.76E9,62.93E9,67.22E9,885.9E-18,827.2E-18,792.5E-18,763.9E-18,738.9E-18,716.9E-18,697.2E-18,679.5E-18,663.4E-18,648.8E-18,635.4E-18,623.1E-18,611.7E-18,885.9E-18,875.2E-18,874.3E-18,874.1E-18,874.1E-18,874.1E-18,874.1E-18,874.1E-18,874.1E-18,874.1E-18,874.1E-18,874.1E-18,874.1E-18,902.0E-18,1.030E-15,1.024E-15,1.021E-15,1.020E-15,1.019E-15,1.019E-15,1.019E-15,1.019E-15,1.019E-15,1.019E-15,1.019E-15,1.019E-15,902.0E-18,406.2E-18,376.4E-18,371.5E-18,366.2E-18,358.9E-18,351.1E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18
450.0E-3,122.1E-3,122.4E-3,123.5E-3,124.8E-3,126.2E-3,127.6E-3,129.1E-3,130.6E-3,132.1E-3,133.6E-3,135.2E-3,136.9E-3,138.5E-3,0.000,3.848,12.76,17.10,18.56,19.13,19.40,19.54,19.62,19.67,19.70,19.71,19.71,1.000,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,-2.313E-12,27.69E-6,34.74E-6,38.87E-6,42.68E-6,46.55E-6,50.59E-6,54.81E-6,59.24E-6,63.89E-6,68.77E-6,73.88E-6,79.22E-6,0.000,16.50,17.14,16.96,16.61,16.22,15.82,15.43,15.05,14.67,14.31,13.95,13.61,0.000,44.57E-6,57.47E-6,63.10E-6,67.34E-6,71.20E-6,74.92E-6,78.58E-6,82.20E-6,85.79E-6,89.36E-6,92.89E-6,96.39E-6,0.000,456.9E-6,595.6E-6,659.1E-6,708.7E-6,754.9E-6,800.3E-6,845.8E-6,891.4E-6,937.5E-6,983.9E-6,1.031E-3,1.078E-3,542.4E-6,118.8E-6,46.69E-6,38.56E-6,38.19E-6,39.46E-6,41.26E-6,43.29E-6,45.43E-6,47.66E-6,49.94E-6,52.28E-6,54.68E-6,0.000,36.85E9,50.30E9,56.16E9,60.64E9,64.87E9,69.09E9,73.32E9,77.55E9,81.77E9,86.00E9,90.24E9,94.50E9,903.3E-18,842.7E-18,804.7E-18,775.4E-18,750.3E-18,728.2E-18,708.4E-18,690.7E-18,674.6E-18,660.0E-18,646.6E-18,634.3E-18,622.9E-18,903.3E-18,891.3E-18,888.8E-18,888.4E-18,888.3E-18,888.2E-18,888.2E-18,888.2E-18,888.2E-18,888.2E-18,888.2E-18,888.2E-18,888.2E-18,1.125E-15,1.357E-15,1.355E-15,1.348E-15,1.345E-15,1.344E-15,1.343E-15,1.343E-15,1.343E-15,1.342E-15,1.342E-15,1.342E-15,1.342E-15,1.125E-15,480.5E-18,386.1E-18,375.2E-18,369.7E-18,363.0E-18,355.1E-18,347.6E-18,341.6E-18,336.8E-18,333.0E-18,330.0E-18,327.6E-18
