vsg ,M0:vdsat vsd 0 ,M0:vdsat vsd 0.1 ,M0:vdsat vsd 0.2 ,M0:vdsat vsd 0.3 ,M0:vdsat vsd 0.4 ,M0:vdsat vsd 0.5 ,M0:vdsat vsd 0.6 ,M0:vdsat vsd 0.7 ,M0:vdsat vsd 0.8 ,M0:vdsat vsd 0.9 ,M0:vdsat vsd 1 ,M0:vdsat vsd 1.1 ,M0:vdsat vsd 1.2 ,M0:self_gain vsd 0 ,M0:self_gain vsd 0.1 ,M0:self_gain vsd 0.2 ,M0:self_gain vsd 0.3 ,M0:self_gain vsd 0.4 ,M0:self_gain vsd 0.5 ,M0:self_gain vsd 0.6 ,M0:self_gain vsd 0.7 ,M0:self_gain vsd 0.8 ,M0:self_gain vsd 0.9 ,M0:self_gain vsd 1 ,M0:self_gain vsd 1.1 ,M0:self_gain vsd 1.2 ,M0:gmoverid vsd 0 ,M0:gmoverid vsd 0.1 ,M0:gmoverid vsd 0.2 ,M0:gmoverid vsd 0.3 ,M0:gmoverid vsd 0.4 ,M0:gmoverid vsd 0.5 ,M0:gmoverid vsd 0.6 ,M0:gmoverid vsd 0.7 ,M0:gmoverid vsd 0.8 ,M0:gmoverid vsd 0.9 ,M0:gmoverid vsd 1 ,M0:gmoverid vsd 1.1 ,M0:gmoverid vsd 1.2 ,M0:id vsd 0 ,M0:id vsd 0.1 ,M0:id vsd 0.2 ,M0:id vsd 0.3 ,M0:id vsd 0.4 ,M0:id vsd 0.5 ,M0:id vsd 0.6 ,M0:id vsd 0.7 ,M0:id vsd 0.8 ,M0:id vsd 0.9 ,M0:id vsd 1 ,M0:id vsd 1.1 ,M0:id vsd 1.2 ,M0:region vsd 0 ,M0:region vsd 0.1 ,M0:region vsd 0.2 ,M0:region vsd 0.3 ,M0:region vsd 0.4 ,M0:region vsd 0.5 ,M0:region vsd 0.6 ,M0:region vsd 0.7 ,M0:region vsd 0.8 ,M0:region vsd 0.9 ,M0:region vsd 1 ,M0:region vsd 1.1 ,M0:region vsd 1.2 ,M0:gmbs vsd 0 ,M0:gmbs vsd 0.1 ,M0:gmbs vsd 0.2 ,M0:gmbs vsd 0.3 ,M0:gmbs vsd 0.4 ,M0:gmbs vsd 0.5 ,M0:gmbs vsd 0.6 ,M0:gmbs vsd 0.7 ,M0:gmbs vsd 0.8 ,M0:gmbs vsd 0.9 ,M0:gmbs vsd 1 ,M0:gmbs vsd 1.1 ,M0:gmbs vsd 1.2 ,M0:gm vsd 0 ,M0:gm vsd 0.1 ,M0:gm vsd 0.2 ,M0:gm vsd 0.3 ,M0:gm vsd 0.4 ,M0:gm vsd 0.5 ,M0:gm vsd 0.6 ,M0:gm vsd 0.7 ,M0:gm vsd 0.8 ,M0:gm vsd 0.9 ,M0:gm vsd 1 ,M0:gm vsd 1.1 ,M0:gm vsd 1.2 ,M0:gds vsd 0 ,M0:gds vsd 0.1 ,M0:gds vsd 0.2 ,M0:gds vsd 0.3 ,M0:gds vsd 0.4 ,M0:gds vsd 0.5 ,M0:gds vsd 0.6 ,M0:gds vsd 0.7 ,M0:gds vsd 0.8 ,M0:gds vsd 0.9 ,M0:gds vsd 1 ,M0:gds vsd 1.1 ,M0:gds vsd 1.2 ,M0:ft vsd 0 ,M0:ft vsd 0.1 ,M0:ft vsd 0.2 ,M0:ft vsd 0.3 ,M0:ft vsd 0.4 ,M0:ft vsd 0.5 ,M0:ft vsd 0.6 ,M0:ft vsd 0.7 ,M0:ft vsd 0.8 ,M0:ft vsd 0.9 ,M0:ft vsd 1 ,M0:ft vsd 1.1 ,M0:ft vsd 1.2 ,M0:csb vsd 0 ,M0:csb vsd 0.1 ,M0:csb vsd 0.2 ,M0:csb vsd 0.3 ,M0:csb vsd 0.4 ,M0:csb vsd 0.5 ,M0:csb vsd 0.6 ,M0:csb vsd 0.7 ,M0:csb vsd 0.8 ,M0:csb vsd 0.9 ,M0:csb vsd 1 ,M0:csb vsd 1.1 ,M0:csb vsd 1.2 ,M0:cgs vsd 0 ,M0:cgs vsd 0.1 ,M0:cgs vsd 0.2 ,M0:cgs vsd 0.3 ,M0:cgs vsd 0.4 ,M0:cgs vsd 0.5 ,M0:cgs vsd 0.6 ,M0:cgs vsd 0.7 ,M0:cgs vsd 0.8 ,M0:cgs vsd 0.9 ,M0:cgs vsd 1 ,M0:cgs vsd 1.1 ,M0:cgs vsd 1.2 ,M0:cgd vsd 0 ,M0:cgd vsd 0.1 ,M0:cgd vsd 0.2 ,M0:cgd vsd 0.3 ,M0:cgd vsd 0.4 ,M0:cgd vsd 0.5 ,M0:cgd vsd 0.6 ,M0:cgd vsd 0.7 ,M0:cgd vsd 0.8 ,M0:cgd vsd 0.9 ,M0:cgd vsd 1 ,M0:cgd vsd 1.1 ,M0:cgd vsd 1.2 ,M0:cdb vsd 0 ,M0:cdb vsd 0.1 ,M0:cdb vsd 0.2 ,M0:cdb vsd 0.3 ,M0:cdb vsd 0.4 ,M0:cdb vsd 0.5 ,M0:cdb vsd 0.6 ,M0:cdb vsd 0.7 ,M0:cdb vsd 0.8 ,M0:cdb vsd 0.9 ,M0:cdb vsd 1 ,M0:cdb vsd 1.1 ,M0:cdb vsd 1.2 
0.000,-84.02E-3,-84.08E-3,-84.09E-3,-84.10E-3,-84.11E-3,-84.12E-3,-84.13E-3,-84.14E-3,-84.15E-3,-84.16E-3,-84.17E-3,-84.18E-3,-84.19E-3,0.000,9.710,15.79,16.86,17.45,17.82,18.07,18.25,18.39,18.50,18.58,18.65,18.71,0.000,29.85,29.85,29.86,29.87,29.88,29.89,29.90,29.90,29.91,29.92,29.93,29.93,-1.947E-12,-28.30E-12,-36.83E-12,-46.70E-12,-59.07E-12,-74.64E-12,-94.21E-12,-118.7E-12,-149.2E-12,-188.0E-12,-240.7E-12,-322.8E-12,-470.5E-12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,69.73E-12,85.26E-12,100.6E-12,117.6E-12,136.8E-12,158.6E-12,183.6E-12,212.1E-12,244.7E-12,282.0E-12,324.6E-12,373.4E-12,0.000,738.2E-12,917.9E-12,1.102E-9,1.311E-9,1.554E-9,1.836E-9,2.164E-9,2.549E-9,2.998E-9,3.524E-9,4.140E-9,4.860E-9,602.1E-12,76.02E-12,58.13E-12,65.35E-12,75.16E-12,87.19E-12,101.6E-12,118.6E-12,138.6E-12,162.1E-12,189.7E-12,222.0E-12,259.8E-12,0.000,110.8E3,139.1E3,168.2E3,201.5E3,239.9E3,284.5E3,336.6E3,397.4E3,468.6E3,551.9E3,649.5E3,763.7E3,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,402.7E-18,392.7E-18,384.6E-18,378.2E-18,373.2E-18,369.2E-18,365.8E-18,363.1E-18,360.7E-18,358.7E-18,356.9E-18,355.3E-18,761.7E-18,724.3E-18,692.4E-18,664.9E-18,641.0E-18,619.9E-18,601.2E-18,584.5E-18,569.5E-18,555.9E-18,543.6E-18,532.3E-18,521.9E-18
50.00E-3,-84.09E-3,-84.15E-3,-84.17E-3,-84.18E-3,-84.19E-3,-84.20E-3,-84.21E-3,-84.22E-3,-84.23E-3,-84.23E-3,-84.24E-3,-84.25E-3,-84.26E-3,0.000,9.748,15.82,16.87,17.46,17.83,18.08,18.26,18.40,18.51,18.59,18.66,18.72,0.000,29.95,29.95,29.95,29.96,29.97,29.98,29.98,29.99,30.00,30.01,30.01,30.02,-1.947E-12,-113.8E-12,-143.2E-12,-174.3E-12,-210.9E-12,-254.6E-12,-306.8E-12,-369.3E-12,-444.2E-12,-534.1E-12,-643.8E-12,-784.6E-12,-982.6E-12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,306.8E-12,375.2E-12,442.7E-12,517.8E-12,602.6E-12,699.2E-12,809.4E-12,935.4E-12,1.080E-9,1.244E-9,1.433E-9,1.649E-9,0.000,3.302E-9,4.106E-9,4.930E-9,5.870E-9,6.958E-9,8.223E-9,9.700E-9,11.43E-9,13.45E-9,15.81E-9,18.58E-9,21.82E-9,2.688E-9,338.8E-12,259.6E-12,292.2E-12,336.2E-12,390.2E-12,454.7E-12,531.1E-12,621.0E-12,726.6E-12,850.4E-12,995.6E-12,1.166E-9,0.000,493.5E3,619.9E3,750.7E3,900.0E3,1.073E6,1.273E6,1.507E6,1.781E6,2.101E6,2.476E6,2.914E6,3.429E6,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,417.9E-18,408.1E-18,397.5E-18,388.4E-18,381.2E-18,375.6E-18,371.1E-18,367.4E-18,364.4E-18,361.8E-18,359.6E-18,357.7E-18,356.1E-18,761.7E-18,724.3E-18,692.4E-18,664.9E-18,641.0E-18,619.9E-18,601.2E-18,584.5E-18,569.5E-18,555.9E-18,543.6E-18,532.3E-18,521.9E-18
100.0E-3,-84.17E-3,-84.22E-3,-84.24E-3,-84.25E-3,-84.26E-3,-84.27E-3,-84.28E-3,-84.29E-3,-84.30E-3,-84.31E-3,-84.32E-3,-84.33E-3,-84.34E-3,0.000,9.783,15.84,16.89,17.47,17.84,18.09,18.27,18.41,18.52,18.60,18.67,18.73,0.000,30.03,30.03,30.04,30.04,30.05,30.06,30.06,30.07,30.08,30.08,30.09,30.10,-1.938E-12,-497.5E-12,-620.2E-12,-747.1E-12,-893.1E-12,-1.063E-9,-1.263E-9,-1.497E-9,-1.773E-9,-2.097E-9,-2.480E-9,-2.936E-9,-3.491E-9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.360E-9,1.662E-9,1.962E-9,2.296E-9,2.673E-9,3.102E-9,3.593E-9,4.154E-9,4.795E-9,5.530E-9,6.370E-9,7.331E-9,0.000,14.83E-9,18.45E-9,22.15E-9,26.39E-9,31.28E-9,36.99E-9,43.64E-9,51.43E-9,60.54E-9,71.20E-9,83.69E-9,98.32E-9,12.06E-9,1.516E-9,1.165E-9,1.312E-9,1.510E-9,1.753E-9,2.044E-9,2.388E-9,2.793E-9,3.269E-9,3.828E-9,4.483E-9,5.251E-9,0.000,2.209E6,2.774E6,3.363E6,4.037E6,4.816E6,5.722E6,6.778E6,8.013E6,9.458E6,11.15E6,13.13E6,15.46E6,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,421.8E-18,413.3E-18,402.7E-18,392.7E-18,384.6E-18,378.2E-18,373.2E-18,369.2E-18,365.8E-18,363.1E-18,360.7E-18,358.7E-18,356.9E-18,761.7E-18,724.3E-18,692.4E-18,664.9E-18,641.0E-18,619.9E-18,601.2E-18,584.5E-18,569.5E-18,555.9E-18,543.6E-18,532.3E-18,521.9E-18
150.0E-3,-84.24E-3,-84.30E-3,-84.31E-3,-84.33E-3,-84.34E-3,-84.34E-3,-84.35E-3,-84.36E-3,-84.37E-3,-84.38E-3,-84.39E-3,-84.40E-3,-84.41E-3,0.000,9.817,15.86,16.90,17.48,17.85,18.10,18.28,18.42,18.53,18.61,18.68,18.74,0.000,30.11,30.11,30.11,30.12,30.12,30.13,30.13,30.14,30.14,30.15,30.15,30.16,-1.920E-12,-2.225E-9,-2.768E-9,-3.327E-9,-3.967E-9,-4.708E-9,-5.573E-9,-6.584E-9,-7.767E-9,-9.155E-9,-10.78E-9,-12.69E-9,-14.94E-9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.062E-9,7.412E-9,8.751E-9,10.24E-9,11.93E-9,13.85E-9,16.04E-9,18.55E-9,21.42E-9,24.71E-9,28.47E-9,32.78E-9,0.000,66.88E-9,83.17E-9,99.91E-9,119.0E-9,141.2E-9,166.9E-9,197.0E-9,232.2E-9,273.4E-9,321.7E-9,378.2E-9,444.4E-9,54.29E-9,6.813E-9,5.244E-9,5.912E-9,6.809E-9,7.907E-9,9.222E-9,10.78E-9,12.61E-9,14.76E-9,17.28E-9,20.25E-9,23.72E-9,0.000,9.930E6,12.46E6,15.12E6,18.17E6,21.70E6,25.81E6,30.59E6,36.18E6,42.73E6,50.40E6,59.38E6,69.90E6,761.8E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,761.7E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,425.1E-18,417.9E-18,408.1E-18,397.5E-18,388.4E-18,381.2E-18,375.6E-18,371.1E-18,367.4E-18,364.4E-18,361.8E-18,359.6E-18,357.7E-18,761.8E-18,724.3E-18,692.4E-18,664.9E-18,641.0E-18,619.9E-18,601.2E-18,584.5E-18,569.5E-18,555.9E-18,543.6E-18,532.3E-18,521.9E-18
200.0E-3,-84.32E-3,-84.37E-3,-84.39E-3,-84.40E-3,-84.41E-3,-84.42E-3,-84.43E-3,-84.44E-3,-84.45E-3,-84.47E-3,-84.48E-3,-84.49E-3,-84.50E-3,0.000,9.847,15.88,16.91,17.49,17.86,18.11,18.29,18.43,18.53,18.62,18.69,18.74,0.000,30.17,30.17,30.17,30.17,30.17,30.18,30.18,30.18,30.17,30.17,30.17,30.16,-1.889E-12,-10.03E-9,-12.47E-9,-14.99E-9,-17.86E-9,-21.18E-9,-25.06E-9,-29.58E-9,-34.88E-9,-41.07E-9,-48.33E-9,-56.83E-9,-66.79E-9,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,0.000,27.17E-9,33.22E-9,39.23E-9,45.92E-9,53.49E-9,62.11E-9,71.95E-9,83.21E-9,96.08E-9,110.8E-9,127.7E-9,146.9E-9,0.000,302.5E-9,376.1E-9,451.8E-9,538.4E-9,638.6E-9,755.2E-9,891.4E-9,1.051E-6,1.237E-6,1.455E-6,1.710E-6,2.009E-6,245.3E-9,30.72E-9,23.68E-9,26.72E-9,30.78E-9,35.75E-9,41.70E-9,48.73E-9,57.01E-9,66.73E-9,78.14E-9,91.51E-9,107.2E-9,0.000,44.77E6,56.12E6,68.09E6,81.91E6,97.91E6,116.5E6,138.2E6,163.5E6,193.1E6,227.8E6,268.4E6,315.9E6,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,761.9E-18,429.1E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.2E-18,429.1E-18,421.8E-18,413.3E-18,402.7E-18,392.7E-18,384.6E-18,378.2E-18,373.2E-18,369.2E-18,365.8E-18,363.1E-18,360.7E-18,358.7E-18,761.9E-18,724.3E-18,692.5E-18,665.0E-18,641.1E-18,620.0E-18,601.3E-18,584.6E-18,569.6E-18,556.0E-18,543.6E-18,532.3E-18,522.0E-18
250.0E-3,-84.40E-3,-84.46E-3,-84.48E-3,-84.49E-3,-84.51E-3,-84.52E-3,-84.53E-3,-84.55E-3,-84.56E-3,-84.58E-3,-84.60E-3,-84.62E-3,-84.64E-3,0.000,9.863,15.89,16.92,17.50,17.87,18.12,18.30,18.43,18.54,18.62,18.69,18.74,0.000,30.18,30.18,30.17,30.16,30.15,30.13,30.11,30.09,30.07,30.04,30.00,29.96,-1.843E-12,-45.35E-9,-56.38E-9,-67.73E-9,-80.69E-9,-95.69E-9,-113.1E-9,-133.5E-9,-157.3E-9,-185.1E-9,-217.6E-9,-255.6E-9,-300.0E-9,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,0.000,122.1E-9,149.2E-9,176.1E-9,206.1E-9,239.9E-9,278.4E-9,322.2E-9,372.3E-9,429.3E-9,494.4E-9,568.5E-9,652.9E-9,0.000,1.369E-6,1.701E-6,2.043E-6,2.433E-6,2.884E-6,3.408E-6,4.019E-6,4.731E-6,5.562E-6,6.532E-6,7.664E-6,8.982E-6,1.109E-6,138.8E-9,107.0E-9,120.8E-9,139.1E-9,161.4E-9,188.1E-9,219.7E-9,256.7E-9,300.1E-9,350.8E-9,410.1E-9,479.3E-9,0.000,200.7E6,251.0E6,304.2E6,365.9E6,437.5E6,520.5E6,617.2E6,729.7E6,861.0E6,1.014E9,1.193E9,1.401E9,763.0E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,762.6E-18,441.2E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.7E-18,441.2E-18,424.9E-18,417.9E-18,408.1E-18,397.5E-18,388.4E-18,381.2E-18,375.6E-18,371.1E-18,367.4E-18,364.4E-18,361.8E-18,359.6E-18,763.0E-18,724.7E-18,692.8E-18,665.4E-18,641.4E-18,620.4E-18,601.7E-18,585.0E-18,569.9E-18,556.4E-18,544.0E-18,532.7E-18,522.4E-18
300.0E-3,-84.53E-3,-84.59E-3,-84.62E-3,-84.65E-3,-84.67E-3,-84.70E-3,-84.73E-3,-84.77E-3,-84.81E-3,-84.85E-3,-84.91E-3,-84.96E-3,-85.03E-3,0.000,9.817,15.88,16.90,17.48,17.85,18.10,18.28,18.41,18.51,18.59,18.66,18.71,0.000,30.01,29.97,29.92,29.86,29.80,29.72,29.63,29.53,29.41,29.28,29.13,28.97,-1.779E-12,-204.5E-9,-254.0E-9,-304.7E-9,-362.5E-9,-429.2E-9,-506.4E-9,-596.2E-9,-700.5E-9,-821.7E-9,-962.5E-9,-1.126E-6,-1.315E-6,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,0.000,544.4E-9,664.2E-9,782.0E-9,912.3E-9,1.058E-6,1.223E-6,1.409E-6,1.619E-6,1.856E-6,2.122E-6,2.421E-6,2.755E-6,0.000,6.136E-6,7.612E-6,9.118E-6,10.83E-6,12.79E-6,15.05E-6,17.66E-6,20.68E-6,24.17E-6,28.18E-6,32.80E-6,38.09E-6,4.982E-6,625.0E-9,479.4E-9,539.4E-9,619.3E-9,716.4E-9,831.5E-9,966.4E-9,1.123E-6,1.305E-6,1.516E-6,1.758E-6,2.036E-6,0.000,857.9E6,1.070E9,1.291E9,1.547E9,1.844E9,2.187E9,2.582E9,3.037E9,3.562E9,4.166E9,4.861E9,5.659E9,768.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,766.1E-18,497.0E-18,500.4E-18,500.6E-18,500.6E-18,500.6E-18,500.6E-18,500.6E-18,500.6E-18,500.6E-18,500.6E-18,500.6E-18,500.6E-18,500.6E-18,497.0E-18,427.8E-18,421.8E-18,413.3E-18,402.7E-18,392.7E-18,384.6E-18,378.2E-18,373.2E-18,369.2E-18,365.8E-18,363.1E-18,360.7E-18,768.1E-18,726.6E-18,694.7E-18,667.3E-18,643.3E-18,622.2E-18,603.6E-18,586.9E-18,571.8E-18,558.3E-18,545.9E-18,534.6E-18,524.2E-18
350.0E-3,-84.86E-3,-84.94E-3,-85.01E-3,-85.08E-3,-85.17E-3,-85.26E-3,-85.37E-3,-85.49E-3,-85.63E-3,-85.79E-3,-85.96E-3,-86.16E-3,-86.39E-3,0.000,9.530,15.75,16.81,17.39,17.77,18.01,18.19,18.32,18.42,18.50,18.56,18.61,0.000,29.10,28.98,28.80,28.60,28.37,28.12,27.85,27.56,27.25,26.92,26.56,26.19,-1.691E-12,-900.8E-9,-1.115E-6,-1.331E-6,-1.573E-6,-1.850E-6,-2.166E-6,-2.528E-6,-2.943E-6,-3.416E-6,-3.956E-6,-4.570E-6,-5.266E-6,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,0.000,2.316E-6,2.807E-6,3.273E-6,3.775E-6,4.325E-6,4.930E-6,5.593E-6,6.320E-6,7.114E-6,7.977E-6,8.913E-6,9.921E-6,0.000,26.21E-6,32.31E-6,38.32E-6,44.99E-6,52.48E-6,60.92E-6,70.42E-6,81.10E-6,93.08E-6,106.5E-6,121.4E-6,137.9E-6,21.51E-6,2.751E-6,2.051E-6,2.280E-6,2.587E-6,2.954E-6,3.382E-6,3.871E-6,4.426E-6,5.052E-6,5.755E-6,6.539E-6,7.412E-6,0.000,3.132E9,3.884E9,4.631E9,5.478E9,6.442E9,7.530E9,8.754E9,10.13E9,11.66E9,13.38E9,15.29E9,17.41E9,785.0E-18,778.4E-18,778.3E-18,778.3E-18,778.3E-18,778.3E-18,778.3E-18,778.3E-18,778.3E-18,778.3E-18,778.3E-18,778.3E-18,778.3E-18,682.8E-18,709.1E-18,709.8E-18,709.7E-18,709.7E-18,709.7E-18,709.7E-18,709.7E-18,709.7E-18,709.7E-18,709.7E-18,709.7E-18,709.7E-18,682.8E-18,433.9E-18,424.8E-18,417.9E-18,408.1E-18,397.5E-18,388.4E-18,381.2E-18,375.6E-18,371.1E-18,367.4E-18,364.4E-18,361.8E-18,785.0E-18,733.8E-18,701.6E-18,674.2E-18,650.2E-18,629.2E-18,610.5E-18,593.8E-18,578.8E-18,565.2E-18,552.8E-18,541.5E-18,531.2E-18
400.0E-3,-86.02E-3,-86.17E-3,-86.38E-3,-86.64E-3,-86.92E-3,-87.25E-3,-87.60E-3,-88.00E-3,-88.44E-3,-88.92E-3,-89.45E-3,-90.03E-3,-90.66E-3,0.000,8.553,15.33,16.51,17.14,17.54,17.80,17.99,18.13,18.24,18.32,18.39,18.44,0.000,26.44,26.24,25.88,25.49,25.08,24.66,24.23,23.78,23.33,22.87,22.39,21.91,-1.568E-12,-3.643E-6,-4.470E-6,-5.261E-6,-6.128E-6,-7.089E-6,-8.159E-6,-9.353E-6,-10.68E-6,-12.16E-6,-13.80E-6,-15.60E-6,-17.60E-6,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,0.000,8.477E-6,10.15E-6,11.57E-6,13.04E-6,14.58E-6,16.19E-6,17.89E-6,19.68E-6,21.54E-6,23.48E-6,25.48E-6,27.54E-6,0.000,96.31E-6,117.3E-6,136.1E-6,156.2E-6,177.8E-6,201.2E-6,226.6E-6,254.0E-6,283.7E-6,315.4E-6,349.4E-6,385.6E-6,82.03E-6,11.26E-6,7.649E-6,8.247E-6,9.110E-6,10.14E-6,11.30E-6,12.59E-6,14.01E-6,15.55E-6,17.21E-6,19.00E-6,20.91E-6,0.000,9.165E9,11.34E9,13.21E9,15.23E9,17.45E9,19.87E9,22.49E9,25.32E9,28.36E9,31.62E9,35.10E9,38.80E9,809.3E-18,797.7E-18,797.0E-18,797.0E-18,797.0E-18,797.0E-18,797.0E-18,797.0E-18,797.0E-18,797.0E-18,797.0E-18,797.0E-18,797.0E-18,960.1E-18,1.057E-15,1.061E-15,1.060E-15,1.060E-15,1.060E-15,1.060E-15,1.060E-15,1.060E-15,1.060E-15,1.060E-15,1.060E-15,1.060E-15,960.1E-18,459.0E-18,427.5E-18,421.8E-18,413.3E-18,402.7E-18,392.7E-18,384.6E-18,378.2E-18,373.2E-18,369.2E-18,365.8E-18,363.1E-18,809.3E-18,747.2E-18,713.7E-18,686.2E-18,662.3E-18,641.2E-18,622.5E-18,605.8E-18,590.8E-18,577.2E-18,564.8E-18,553.6E-18,543.2E-18
450.0E-3,-89.79E-3,-90.11E-3,-90.69E-3,-91.36E-3,-92.10E-3,-92.89E-3,-93.73E-3,-94.63E-3,-95.58E-3,-96.59E-3,-97.64E-3,-98.75E-3,-99.91E-3,0.000,6.543,14.44,15.95,16.70,17.16,17.47,17.69,17.85,17.97,18.07,18.15,18.21,0.000,22.03,22.00,21.56,21.08,20.59,20.10,19.60,19.10,18.60,18.11,17.62,17.14,-1.377E-12,-12.30E-6,-14.99E-6,-17.28E-6,-19.69E-6,-22.27E-6,-25.04E-6,-28.03E-6,-31.26E-6,-34.72E-6,-38.45E-6,-42.43E-6,-46.69E-6,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,2.000,2.000,2.000,2.000,2.000,0.000,23.77E-6,28.37E-6,31.49E-6,34.45E-6,37.35E-6,40.23E-6,43.09E-6,45.91E-6,48.70E-6,51.42E-6,54.08E-6,56.65E-6,0.000,271.0E-6,329.8E-6,372.6E-6,415.1E-6,458.5E-6,503.2E-6,549.4E-6,597.0E-6,646.0E-6,696.3E-6,747.7E-6,800.2E-6,249.7E-6,41.42E-6,22.84E-6,23.37E-6,24.86E-6,26.72E-6,28.81E-6,31.07E-6,33.45E-6,35.95E-6,38.53E-6,41.21E-6,43.95E-6,0.000,21.34E9,27.22E9,30.88E9,34.54E9,38.35E9,42.32E9,46.43E9,50.65E9,54.97E9,59.39E9,63.90E9,68.50E9,827.1E-18,814.1E-18,811.5E-18,811.4E-18,811.4E-18,811.4E-18,811.4E-18,811.4E-18,811.4E-18,811.4E-18,811.4E-18,811.4E-18,811.4E-18,1.176E-15,1.345E-15,1.363E-15,1.362E-15,1.362E-15,1.361E-15,1.361E-15,1.361E-15,1.361E-15,1.361E-15,1.361E-15,1.361E-15,1.361E-15,1.176E-15,551.4E-18,432.2E-18,425.1E-18,418.0E-18,408.1E-18,397.5E-18,388.4E-18,381.2E-18,375.6E-18,371.1E-18,367.4E-18,364.4E-18,827.1E-18,762.7E-18,724.6E-18,696.8E-18,672.8E-18,651.8E-18,633.1E-18,616.4E-18,601.3E-18,587.8E-18,575.4E-18,564.1E-18,553.8E-18
